original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event,Source
39,38.0,0.01237422010582018,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
50,37.0,0.011129014082381268,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
41,20.0,0.0015072868413933233,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
15,64.0,0.12552872505653198,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
132,98.0,0.7938390455415016,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
35,41.0,0.016871369285917627,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
27,87.0,0.5015913016269502,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
38,58.0,0.07932167969676177,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
48,99.0,0.8227604017844778,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
2,44.5,0.042088736322359155,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
113,46.0,0.027621013367531002,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
63,29.0,0.007895134320469043,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
0,78.0,0.7438909187552948,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
103,68.0,0.16718404068982073,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
42,39.0,0.13320998376632007,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
