original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
15,51.5,0.6291916508585248,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
27,43.0,0.3341793830599732,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
11,5.0,0.0028510905621021063,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
27,1.0,0.14412703481601533,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
53,1.0,0.14412703481601533,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
81,1.0,0.14077277337135014,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
52,3.0,0.4652088184521418,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
0,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
69,4.0,0.7150006546880893,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
67,4.0,0.7150006546880893,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
74,2.0,0.5929800980174267,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
25,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
7,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
13,2.0,0.27332167829229814,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
79,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
60,4.0,0.7150006546880893,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
68,0.0,0.06788915486182899,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
3,3.0,0.4614509878333607,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
32,4.0,0.7150006546880893,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
62,4.0,0.7150006546880893,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
78,0.0,0.06559969214707187,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
35,1.0,0.28504940740261275,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
64,3.0,0.4652088184521418,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1_1,10s lose vs 10s baseline
9,94.0,0.681322326150025,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
24,77.5,0.4809735057899752,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
76,89.5,0.5626508656896176,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
10,76.5,0.2871272506036675,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
94,103.0,0.9404809859004396,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
87,87.5,0.5133653859579521,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
