,original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
105,37,47.0,0.029575347900390625,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
106,3,30.0,0.007144927978515625,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
107,25,71.0,0.550872802734375,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
108,49,17.5,0.00384521484375,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
109,5,80.0,0.36827659606933594,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
110,17,57.0,0.0758514404296875,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
111,40,101.0,0.8983173370361328,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
112,128,52.5,0.05316925048828125,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
113,134,69.5,0.3320655822753906,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
114,22,45.5,0.049365997314453125,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
115,39,36.5,0.009435653686523438,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
116,50,30.0,0.007144927978515625,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
117,41,20.0,0.0007076263427734375,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
118,15,60.5,0.10539817810058594,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
119,132,87.0,0.76800537109375,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
120,35,41.0,0.01531219482421875,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
121,27,88.5,0.5705966949462891,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
122,38,57.5,0.082550048828125,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
123,48,92.5,0.9529838562011719,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
124,2,45.5,0.049365997314453125,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
125,113,46.0,0.026641845703125,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
126,63,30.0,0.007144927978515625,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
127,0,77.5,0.7660293579101562,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
128,103,68.0,0.17685317993164062,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
129,42,38.0,0.129730224609375,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
