Recording,Subject,original unit id,sig_increase_events,sig_decrease_events,insig_events,sig_events
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,29,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,115,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,59,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,51,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,55,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,27,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,102,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,78,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,6,,,"rewarded, both_rewarded, tie, win, lose",
20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1-2,15,,,"rewarded, both_rewarded, tie, win, lose",
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,102,,,"rewarded, both_rewarded, tie, win, lose",
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,110,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,37,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,3,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,25,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,49,win,,"both_rewarded, tie, lose, rewarded",win
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,5,,,"rewarded, both_rewarded, tie, win, lose",
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,17,,,"rewarded, both_rewarded, tie, win, lose",
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,40,,,"rewarded, both_rewarded, tie, win, lose",
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,128,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,134,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,22,win,,"both_rewarded, tie, lose, rewarded",win
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,39,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,50,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,41,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,15,,,"rewarded, both_rewarded, tie, win, lose",
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,132,,,"rewarded, both_rewarded, tie, win, lose",
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,35,"both_rewarded, win",,"tie, lose, rewarded","both_rewarded, win"
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,27,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,38,both_rewarded,,"win, tie, lose, rewarded",both_rewarded
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,48,,,"rewarded, both_rewarded, tie, win, lose",
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,2,win,,"both_rewarded, tie, lose, rewarded",win
20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,113,win,,"both_rewarded, tie, lose, rewarded",win
