,x,y,waveform,cluster_id,cluster_color,firing_rate,recording_name,unit_id
16,10.193596,3.2757254,"[ 0.06340019  0.06431427  0.06524598  0.07205624  0.07730002  0.0738342
  0.07445092  0.08086441  0.07480776  0.07153016  0.08876169  0.08223592
  0.05632221  0.08724143  0.10353258  0.02977022  0.12495632  0.4711092
  0.45223275 -0.27879193 -0.9883398  -1.         -0.66907346 -0.5063399
 -0.4369983  -0.30996597 -0.20398737 -0.13704975 -0.04536048  0.05505033
  0.13150017  0.19381173  0.23787133  0.25138608  0.24753083  0.23938279
  0.22523363  0.20647871  0.18701613  0.16567507]",3,[0.38127 0.98909 0.42386 1.     ],4.23560206,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,115.0
17,8.809475,3.5624294,"[ 0.066317    0.06497784  0.06077814  0.06005426  0.06049823  0.05890445
  0.06368585  0.07001726  0.06694039  0.0731822   0.08732036  0.07035437
  0.05756856  0.09594548  0.08683393  0.03413155  0.17332824  0.37824112
  0.09640623 -0.6198246  -1.         -0.7946131  -0.509858   -0.40963334
 -0.32152498 -0.19713914 -0.12026537 -0.05915102  0.02631201  0.09839376
  0.14686647  0.19220898  0.22227126  0.22496857  0.21794838  0.2113154
  0.19756408  0.17861244  0.1628286   0.1482375 ]",3,[0.38127 0.98909 0.42386 1.     ],0.53180896,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,117.0
18,7.324936,10.288915,"[ 0.06322451  0.06369081  0.06390603  0.06510491  0.06386509  0.06031928
  0.06085324  0.06079908  0.05279841  0.04978906  0.05301719  0.03999251
  0.02855224  0.0416957   0.02712222  0.00510022  0.1062183   0.18883123
 -0.12631643 -0.72635925 -1.         -0.78414524 -0.51392525 -0.41528204
 -0.3335481  -0.20838384 -0.11163902 -0.02410316  0.09530877  0.21522966
  0.3086679   0.37727016  0.4102999   0.40189636  0.36958784  0.3285224
  0.2821536   0.23573415  0.19464847  0.15793669]",4,[0.82333 0.91253 0.20663 1.     ],10.65693581,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,123.0
19,10.5428505,3.7825706,"[ 0.07851895  0.08432487  0.09623767  0.10849684  0.11539289  0.12007283
  0.12625602  0.12966296  0.13169782  0.14328139  0.15275     0.14322285
  0.14835136  0.17669864  0.1607515   0.16258225  0.3464647   0.5050673
  0.17006718 -0.5513707  -1.         -0.9465689  -0.7485964  -0.62225246
 -0.49126345 -0.34828073 -0.24973397 -0.16569448 -0.07207143 -0.00420268
  0.03513683  0.08021561  0.13276923  0.17075008  0.19151178  0.20470841
  0.21155497  0.2097988   0.20193924  0.191851  ]",3,[0.38127 0.98909 0.42386 1.     ],1.68757356,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,150.0
20,8.070329,3.7096772,"[ 0.06014409  0.06168574  0.06374568  0.06767368  0.06760522  0.06490301
  0.06906541  0.0701988   0.05912793  0.06128509  0.07375676  0.05484844
  0.04284159  0.07846276  0.05814913  0.0074657   0.16829382  0.3715137
  0.05525252 -0.6650138  -1.         -0.7671833  -0.5049618  -0.4331402
 -0.34331375 -0.19146861 -0.07795629  0.01088644  0.10633472  0.17797747
  0.21940526  0.24733052  0.2565458   0.24531572  0.22807354  0.21060161
  0.1901974   0.169138    0.15074347  0.13465735]",3,[0.38127 0.98909 0.42386 1.     ],9.23793993,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,154.0
21,3.5309043,6.547585,"[ 0.05411126  0.05766536  0.06095336  0.06409806  0.06612396  0.06513336
  0.06571167  0.06845454  0.06457577  0.0615322   0.06969637  0.06466079
  0.04618935  0.06137276  0.07450495  0.02552114  0.02613714  0.08758163
 -0.1294058  -0.68677807 -1.         -0.7377109  -0.33754107 -0.18154658
 -0.1303624  -0.04363625  0.01246291  0.03948912  0.09757046  0.16529109
  0.21000056  0.24039605  0.25488383  0.24418907  0.22021729  0.19723916
  0.17450204  0.14699975  0.1163793   0.0901213 ]",1,[0.27698 0.46153 0.93309 1.     ],0.76642131,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,190.0
22,11.367784,7.7833543,"[ 0.10905071  0.11530612  0.12141138  0.12771004  0.13257697  0.13654299
  0.14295916  0.14767829  0.14641665  0.14900063  0.1548349   0.14839143
  0.14617819  0.1612435   0.14692098  0.11701592  0.15463574  0.12631097
 -0.23016949 -0.7619536  -1.         -0.87072456 -0.69982916 -0.61649543
 -0.5154154  -0.3894619  -0.29467785 -0.204958   -0.0930312   0.01580275
  0.10746711  0.18757753  0.25138712  0.29394805  0.318378    0.32612923
  0.31983998  0.30620083  0.28781372  0.2642447 ]",6,[0.8538  0.2217  0.02677 1.     ],0.60976347,20240322_120625_alone_comp_subj_3-3_t6b6_merged.rec,3.0
23,9.022697,1.61084,"[ 0.03746641  0.03893704  0.04073736  0.0481745   0.05191964  0.04882304
  0.05572807  0.06474569  0.05526274  0.05910973  0.08445857  0.06694662
  0.04671371  0.10615269  0.1019711   0.01211437  0.20565547  0.5726527
  0.31426367 -0.5609251  -1.         -0.6828387  -0.32433698 -0.23533577
 -0.14747377 -0.02942678 -0.00541235 -0.00655351  0.02540637  0.03924146
  0.03747122  0.05612595  0.07898193  0.08853859  0.0948283   0.09849422
  0.09362205  0.08571056  0.07968736  0.07343302]",3,[0.38127 0.98909 0.42386 1.     ],3.49770171,20240322_120625_alone_comp_subj_3-3_t6b6_merged.rec,15.0
24,9.201321,7.4001894,"[ 0.09312156  0.10035461  0.10684288  0.1138299   0.11979181  0.12398089
  0.12951972  0.13444142  0.13492946  0.13835748  0.14524114  0.14173366
  0.13854146  0.15034129  0.14417928  0.12345386  0.14559498  0.09785817
 -0.2472901  -0.7627335  -1.         -0.83631045 -0.58097965 -0.42965424
 -0.31294462 -0.19262119 -0.1126191  -0.06680115 -0.02385426  0.01866305
  0.06281326  0.11395229  0.16234377  0.19847862  0.22366726  0.23824216
  0.23966813  0.2296538   0.21307978  0.19396749]",7,[0.4796  0.01583 0.01055 1.     ],1.32961875,20240322_120625_alone_comp_subj_3-3_t6b6_merged.rec,18.0
25,3.3003898,4.8929305,"[ 0.05680629  0.05974482  0.06235239  0.06534506  0.06770375  0.06821842
  0.07196454  0.07772496  0.07399997  0.06970488  0.07984543  0.07814614
  0.05841587  0.07240437  0.08916876  0.03812445  0.03563321  0.11596258
 -0.0830675  -0.664789   -1.         -0.6980984  -0.25633946 -0.12628812
 -0.11411262 -0.01895541  0.05821425  0.0799769   0.10977222  0.12671217
  0.11031612  0.10795625  0.13130148  0.14699161  0.15030396  0.15485461
  0.15647005  0.1476807   0.13182013  0.11374049]",1,[0.27698 0.46153 0.93309 1.     ],1.62298659,20240322_120625_alone_comp_subj_3-3_t6b6_merged.rec,47.0
26,9.645187,4.1463785,"[ 0.07580647  0.08026963  0.08455478  0.09264383  0.09762629  0.09786197
  0.10439137  0.10943843  0.10172513  0.10720482  0.12515979  0.10897184
  0.09710626  0.13978407  0.12374763  0.05512391  0.18780014  0.3734096
  0.04951311 -0.6674639  -1.         -0.7955429  -0.56952727 -0.48884216
 -0.37171486 -0.23648342 -0.1700508  -0.11175384 -0.02844906  0.03559157
  0.08126716  0.1333199   0.18053289  0.20972148  0.22530226  0.22941643
  0.22308141  0.21193273  0.19845074  0.18206309]",3,[0.38127 0.98909 0.42386 1.     ],1.3069064,20240322_120625_alone_comp_subj_3-3_t6b6_merged.rec,60.0
